3, 3
3, 
3, 2
3, 3
3, 3
3, 0
3, 0
3, 0
4, 1
4, 
4, 36
4, 4
4, 4
4, 11
4, 2
4, 0
5, 1
5, 
5, 70
5, 8
5, 23
5, 1
5, 1
5, 0
6, 1
6, 
6, 20
6, 11
6, 37
6, 10
6, 2
6, 0
7, 1
7, 
7, 1
7, 12
7, 63
7, 9
7, 3
7, 0
8, 1
8, 
8, 5
8, 13
8, 88
8, 1
8, 1
8, 0
13, 1
13, 4, 
13, 1
13, 21
13, 170
13, 7
13, 1
13, 0
14, 1
14, 
14, 1
14, 22
14, 208
14, 9
14, 1
14, 0
15, 1
15, 
15, 23
15, 27
15, 242
15, 1
15, 1
15, 0
16, 1
16, 
16, 18
16, 31
16, 284
16, 6
16, 1
16, 0
17, 1
17, 
17, 17
17, 36
17, 405
17, 10
17, 2
17, 0
18, 1
18, 
18, 2
18, 36
18, 474
18, 2
18, 1
18, 0
19, 1
19, 
19, 3
19, 38
19, 494
19, 2
19, 1
19, 0
21, 2
21, 
21, 2
21, 42
21, 549
21, 1
21, 1
21, 0
22, 1
22, 
22, 69
22, 58
22, 654
22, 4
22, 1
22, 0
24, 2
24, 
24, 2
24, 63
24, 717
24, 6
24, 1
24, 0
28, 1
28, 3, 
28, 2
28, 69
28, 893
28, 11
28, 3
28, 0
29, 1
29, 
29, 2
29, 70
29, 972
29, 7
29, 1
29, 0
30, 1
30, 
30, 62
30, 91
30, 1126
30, 13
30, 4
30, 0
31, 1
31, 
31, 1
31, 85
31, 1105
31, 8
31, 2
31, 0
32, 1
32, 
32, 5
32, 87
32, 1255
32, 1
32, 1
32, 0
35, 3
35, 
35, 1
35, 94
35, 1367
35, 1
35, 1
35, 0
36, 1
36, 
36, 6
36, 98
36, 1526
36, 10
36, 2
36, 0
37, 1
37, 
37, 10
37, 103
37, 1696
37, 3
37, 1
37, 0
41, 1
41, 3, 
41, 2
41, 110
41, 1937
41, 15
41, 2
41, 0
42, 1
42, 
42, 6
42, 114
42, 2051
42, 24
42, 3
42, 0
43, 1
43, 
43, 1
43, 116
43, 2137
43, 12
43, 4
43, 0
44, 1
44, 
44, 2
44, 119
44, 2216
44, 1
44, 1
44, 0
55, 1
55, 5, 5, 
55, 6
55, 150
55, 2904
55, 6
55, 1
55, 0
56, 1
56, 
56, 19
56, 159
56, 3128
56, 1
56, 1
56, 0
59, 1
59, 2, 
59, 4
59, 167
59, 3366
59, 19
59, 2
59, 0
60, 1
60, 
60, 1
60, 168
60, 3482
60, 12
60, 3
60, 0
61, 1
61, 
61, 1
61, 169
61, 3608
61, 16
61, 3
61, 0
62, 1
62, 
62, 1
62, 166
62, 3502
62, 3
62, 1
62, 0
75, 1
75, 5, 5, 2, 
75, 8
75, 164
75, 4184
75, 12
75, 2
75, 0
76, 1
76, 
76, 12
76, 138
76, 4423
76, 27
76, 6
76, 0
77, 1
77, 
77, 3
77, 140
77, 4538
77, 10
77, 2
77, 0
78, 1
78, 
78, 1
78, 142
78, 4717
78, 21
78, 4
78, 0
79, 1
79, 
79, 5
79, 146
79, 4833
79, 16
79, 4
79, 0
80, 1
80, 
80, 2
80, 148
80, 4972
80, 21
80, 3
80, 0
81, 1
81, 
81, 2
81, 148
81, 5076
81, 21
81, 4
81, 0
82, 1
82, 
82, 13
82, 154
82, 5261
82, 31
82, 6
82, 0
83, 1
83, 
83, 27
83, 166
83, 5552
83, 9
83, 2
83, 0
84, 1
84, 
84, 3
84, 165
84, 5557
84, 20
